Date,Temp9am,Temp3pm,MinTemp,MaxTemp,Rainfall,RainToday,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,ID
20-02-13,21.3,25.2,18.3,26.4,0.0,No,4.6,11.1,W,41,W,E,13,22,80,60,1013.4,1010.8,3,1,20
21-02-13,22.1,24.9,20.6,26.8,0.0,No,6.8,6.4,W,41,WNW,SE,4,15,86,62,1011.4,1009.7,7,7,21
22-02-13,22.3,24.9,19.1,25.4,0.4,No,4.4,9.4,W,41,WNW,E,11,28,77,66,1009.2,1003.1,4,1,22
23-02-13,22.5,24.0,20.5,26.0,0.0,No,6.6,12.2,W,41,WSW,ESE,20,24,38,45,1007.4,1007.0,1,1,23
24-02-13,21.2,26.1,16.5,28.3,0.0,No,8.6,12.0,W,41,WNW,ESE,11,24,48,40,1007.9,1008.0,0,0,24
25-02-13,21.6,23.5,20.5,24.2,0.0,No,8.6,1.5,W,41,E,E,15,20,58,54,1017.5,1016.9,7,7,25
26-02-13,23.0,25.8,19.3,26.2,0.0,Yes,3.6,8.4,W,41,WSW,E,2,28,73,65,1018.3,1015.6,1,6,26
27-02-13,21.3,24.7,19.0,29.0,22.2,Yes,8.2,3.3,W,41,W,NNE,0,15,82,52,1014.1,1010.6,7,7,27
28-02-13,20.4,19.2,17.9,21.4,4.2,Yes,4.2,0.0,W,41,S,ESE,20,9,77,88,1010.0,1010.1,8,8,28
01-03-13,17.1,19.9,14.7,20.6,33.0,No,7.0,8.9,W,41,SW,S,24,28,65,51,1015.3,1015.6,5,3,29
02-03-13,15.9,21.2,12.8,22.0,0.2,Yes,6.2,11.3,W,41,W,SSE,19,31,55,46,1020.9,1020.6,0,1,30
03-03-13,15.1,22.4,14.2,23.4,5.4,No,6.4,7.3,W,41,W,SE,13,17,93,54,1026.2,1025.2,7,2,31
04-03-13,18.2,22.5,15.0,23.1,0.2,No,2.6,11.2,W,41,W,ENE,15,19,78,57,1025.8,1022.5,1,1,32
05-03-13,18.7,23.8,15.5,25.4,0.0,No,6.8,11.3,W,41,WNW,E,9,19,77,57,1020.5,1018.6,0,2,33
06-03-13,22.6,24.1,18.7,25.8,0.0,No,6.0,8.7,W,41,S,ESE,19,22,72,64,1024.8,1024.2,6,3,34
07-03-13,22.1,24.7,19.6,26.0,0.0,No,5.0,10.4,W,41,N,ENE,11,19,67,65,1024.2,1019.8,1,1,35
08-03-13,22.9,23.3,19.9,24.9,0.0,Yes,7.6,4.5,W,41,SSW,SSE,13,24,83,75,1021.3,1020.7,5,7,36
09-03-13,18.8,21.5,16.5,24.8,17.4,No,6.0,9.6,W,41,WNW,E,9,22,88,71,1023.4,1022.3,1,2,37
10-03-13,19.7,23.8,16.4,24.3,0.0,No,4.6,10.2,W,41,W,E,9,19,82,64,1025.5,1025.2,1,2,38
11-03-13,22.9,25.5,19.3,26.3,0.0,No,4.6,10.8,W,41,WNW,NE,9,24,76,50,1025.1,1022.5,1,0,39
12-03-13,21.9,26.0,18.6,26.1,0.0,No,7.6,11.3,W,41,ENE,E,2,20,72,58,1022.0,1021.4,0,0,40
13-03-13,22.2,25.0,19.3,26.4,0.0,No,7.0,11.1,W,41,W,NE,7,22,77,60,1021.9,1018.8,1,1,41
14-03-13,22.4,25.3,19.2,26.1,0.0,No,6.0,10.6,W,41,WNW,ESE,6,20,84,69,1019.7,1019.0,1,4,42
15-03-13,21.8,25.7,18.8,26.0,0.0,No,5.4,11.0,W,41,W,ENE,9,24,84,62,1022.8,1020.0,3,1,43
16-03-13,22.5,25.6,19.3,26.1,0.0,No,7.0,11.3,W,41,NW,ENE,2,20,80,64,1022.1,1020.9,1,1,44
17-03-13,22.8,24.7,19.7,25.8,0.0,No,5.6,10.1,W,41,W,E,7,24,81,69,1024.6,1022.6,2,2,45
18-03-13,22.0,25.4,19.5,25.7,0.0,No,6.4,10.0,W,41,WNW,E,4,19,82,60,1024.8,1022.8,4,1,46
19-03-13,22.2,25.6,19.0,26.7,0.0,No,8.0,9.7,W,41,N,ENE,11,20,73,58,1023.3,1020.0,0,2,47
20-03-13,23.9,24.9,19.9,26.9,0.0,No,6.6,6.3,W,41,SSE,E,7,13,70,60,1021.2,1019.4,5,7,48
21-03-13,23.5,27.6,19.7,28.1,0.0,No,6.0,10.4,W,41,NNE,NE,6,17,70,58,1014.3,1009.6,2,2,49
22-03-13,17.8,18.4,17.7,19.6,1.0,Yes,7.0,0.0,W,41,S,SSW,26,22,87,80,1017.3,1018.9,8,8,50
23-03-13,19.6,21.7,16.9,23.2,2.2,No,2.2,0.6,W,41,ESE,E,24,30,81,60,1022.8,1022.2,7,7,51
24-03-13,18.5,24.8,16.3,24.8,0.4,Yes,4.0,6.1,W,41,WNW,ESE,9,13,82,57,1023.1,1020.6,5,6,52
25-03-13,19.9,23.3,18.5,24.3,17.0,No,2.6,8.0,W,41,NNW,ENE,7,26,95,72,1018.7,1015.3,6,2,53
26-03-13,21.4,27.0,19.8,27.5,0.4,Yes,6.4,2.5,W,41,NE,NNW,4,17,81,58,1011.1,1006.9,5,7,54
27-03-13,20.5,27.1,17.0,27.2,19.0,No,2.4,10.5,W,41,W,NW,0,6,76,38,1008.9,1007.9,1,5,55
28-03-13,17.5,21.8,15.0,23.6,0.0,No,5.8,11.0,W,41,W,ESE,20,19,52,42,1014.7,1013.4,1,1,56
29-03-13,18.3,21.2,15.2,21.7,0.0,No,2.6,8.3,W,41,SSW,SE,13,17,71,51,1017.1,1016.2,4,3,57
30-03-13,16.7,21.7,14.4,22.9,0.2,No,4.8,9.3,W,41,W,E,15,15,85,65,1015.4,1011.2,3,2,58
31-03-13,16.9,25.9,13.1,26.8,0.0,No,4.6,10.9,W,41,W,WNW,22,15,61,22,1013.0,1009.0,0,1,59
01-04-13,16.3,24.9,13.5,25.6,0.0,No,5.8,10.4,W,41,WNW,WNW,9,17,57,31,1015.0,1012.5,4,1,60
02-04-13,16.7,23.3,13.7,23.9,0.0,No,6.6,11.0,W,41,W,ESE,20,15,55,54,1023.0,1021.5,1,1,61
03-04-13,17.8,28.0,14.1,28.7,0.0,No,3.8,10.5,W,41,W,N,6,22,75,34,1019.0,1012.4,1,7,62
04-04-13,16.6,21.2,16.4,22.2,0.0,No,10.6,9.7,W,41,SW,WSW,26,20,42,21,1009.9,1010.8,6,1,63
05-04-13,13.9,21.0,11.2,22.2,0.0,No,7.6,10.6,W,41,W,E,24,15,47,37,1020.8,1019.2,1,0,64
06-04-13,15.2,21.0,11.6,22.7,0.0,No,4.2,10.7,W,41,WNW,E,13,17,71,50,1024.5,1023.4,0,1,65
07-04-13,17.7,22.1,13.1,22.7,0.0,Yes,3.6,6.4,W,41,W,ESE,13,20,71,55,1027.2,1024.6,5,6,66
08-04-13,18.2,19.8,15.3,22.0,12.0,Yes,3.2,4.7,W,41,SSW,SSE,11,15,83,70,1026.3,1024.2,5,6,67
09-04-13,17.0,18.9,14.6,22.1,9.6,Yes,5.4,5.1,W,41,SE,SE,20,17,86,75,1026.5,1024.1,6,6,68
10-04-13,16.3,21.1,15.6,22.2,22.8,Yes,5.4,5.8,W,41,W,E,13,20,96,62,1024.6,1021.4,7,5,69
11-04-13,18.7,21.9,13.8,22.7,2.2,No,3.6,10.6,W,41,W,E,15,15,77,60,1022.1,1019.7,5,1,70
12-04-13,17.1,22.1,14.1,23.5,0.0,No,3.2,8.9,W,41,W,E,15,15,83,61,1020.1,1017.5,4,2,71
13-04-13,17.6,22.2,14.0,23.8,0.0,No,4.0,7.8,W,41,W,E,11,9,79,59,1018.6,1016.0,7,4,72
14-04-13,17.4,19.7,15.1,22.7,0.0,Yes,1.8,6.6,W,41,W,ESE,11,4,81,75,1016.4,1013.4,5,6,73
15-04-13,15.9,18.8,13.2,18.9,11.0,Yes,3.2,5.2,W,41,SSW,S,19,30,82,64,1019.6,1019.2,7,3,74
16-04-13,15.9,19.0,13.8,19.7,2.8,Yes,2.8,1.7,W,41,SW,S,20,22,85,71,1025.4,1023.9,7,7,75
17-04-13,17.2,16.2,13.8,20.9,1.4,Yes,4.6,2.2,W,41,SSW,SSW,15,20,78,85,1026.4,1024.6,7,8,76
18-04-13,16.4,19.4,14.9,19.7,4.6,Yes,1.4,0.8,W,41,SSW,S,17,13,91,72,1025.1,1023.4,7,7,77
19-04-13,16.4,19.6,15.3,20.0,6.4,Yes,3.2,0.3,W,41,W,SSE,4,15,94,75,1025.4,1023.7,8,7,78
20-04-13,19.3,19.5,15.9,21.4,5.0,Yes,4.8,5.0,W,41,SE,SE,22,24,51,61,1027.2,1026.1,6,7,79
21-04-13,17.3,18.4,15.2,19.1,2.8,Yes,4.0,1.3,W,41,ESE,S,15,6,79,75,1026.6,1023.7,7,6,80
22-04-13,16.6,19.0,14.7,19.3,21.8,Yes,7.5,4.6,W,41,SSW,S,9,19,91,70,1023.2,1021.4,8,7,81
23-04-13,16.1,20.1,14.4,20.3,10.2,Yes,3.6,2.0,W,41,SSE,SE,9,20,90,55,1023.6,1022.3,7,5,82
24-04-13,16.2,17.2,14.7,17.9,12.6,Yes,4.0,0.7,W,41,SW,SSE,6,22,90,89,1024.0,1022.1,7,7,83
25-04-13,16.8,19.3,14.7,20.0,15.6,Yes,1.6,2.5,W,41,S,S,19,20,93,80,1021.3,1018.6,7,7,84
26-04-13,15.6,24.6,12.7,24.8,0.4,No,2.6,10.2,W,41,W,E,15,6,81,38,1011.2,1007.0,2,7,85
27-04-13,20.3,25.7,15.6,26.1,0.0,No,5.2,7.6,W,41,NNW,N,20,22,51,28,1005.2,999.1,6,2,86
28-04-13,13.7,15.6,11.9,16.8,0.0,No,7.6,8.5,W,41,W,WSW,20,24,46,33,1007.4,1008.6,2,6,87
29-04-13,11.7,17.8,8.6,18.4,0.0,No,3.8,10.5,W,41,W,SSE,24,9,54,41,1020.4,1019.8,1,1,88
30-04-13,11.6,18.1,8.4,19.6,0.0,No,3.6,9.8,W,41,W,E,15,17,68,50,1024.2,1021.3,1,3,89
01-05-13,13.4,18.1,11.6,18.2,0.0,No,4.0,2.7,W,41,WNW,W,11,7,74,56,1019.7,1016.7,7,7,90
02-05-13,14.5,21.7,10.8,22.2,0.0,No,2.4,9.1,W,41,W,WSW,19,17,65,44,1018.7,1015.3,1,3,91
03-05-13,14.1,18.6,10.9,19.6,0.0,No,3.4,10.5,W,41,W,SSE,19,11,62,52,1019.3,1016.9,1,1,92
04-05-13,12.4,19.4,9.4,20.3,0.0,No,3.6,10.3,W,41,W,SE,22,11,64,47,1021.1,1018.3,1,1,93
05-05-13,12.4,22.2,9.4,22.3,0.0,No,2.0,10.0,W,41,W,NW,15,7,71,34,1018.7,1015.2,1,2,94
06-05-13,13.7,21.1,11.8,23.6,0.0,No,3.4,3.1,W,41,W,WNW,9,9,74,48,1017.1,1013.3,6,7,95
07-05-13,16.5,22.0,13.0,23.0,0.0,No,3.6,9.4,W,41,W,SSE,22,13,57,44,1014.3,1011.8,1,3,96
08-05-13,14.0,20.8,11.0,21.8,0.0,No,3.2,10.2,W,41,W,S,24,15,63,45,1019.2,1017.5,1,1,97
09-05-13,14.3,20.6,11.0,21.9,0.0,No,3.2,10.1,W,41,W,SE,17,11,75,60,1021.4,1020.2,0,1,98
10-05-13,15.2,19.3,12.6,21.3,0.0,No,3.0,9.6,W,41,WNW,E,11,11,86,67,1022.2,1019.6,1,1,99
11-05-13,16.8,18.7,14.0,19.4,0.0,No,1.2,2.1,W,41,WNW,SSE,13,15,84,67,1023.1,1021.2,7,7,100
12-05-13,14.9,19.2,12.4,19.5,0.0,No,1.6,7.3,W,41,W,E,11,15,88,63,1023.5,1020.5,1,1,101
13-05-13,15.0,18.1,13.2,19.7,0.0,No,1.8,4.2,W,41,W,E,11,9,88,67,1023.4,1021.7,6,7,102
14-05-13,13.8,20.0,11.2,20.6,0.0,No,2.0,9.7,W,41,W,ENE,20,19,82,64,1023.8,1020.5,1,1,103
15-05-13,13.9,21.3,12.0,21.4,0.2,Yes,3.2,8.7,W,41,W,E,13,9,90,60,1022.2,1017.8,1,1,104
16-05-13,15.9,20.9,13.8,23.2,1.2,No,2.2,6.4,W,41,WNW,NE,15,15,78,66,1017.1,1013.0,6,2,105
17-05-13,19.2,20.9,15.2,21.8,0.0,No,4.2,6.9,W,41,NNW,NNW,20,17,52,41,1008.4,1003.6,3,7,106
18-05-13,11.6,17.0,8.8,17.8,0.0,No,4.2,9.4,W,41,W,W,19,31,57,36,1007.0,1006.3,1,1,107
19-05-13,12.5,20.3,10.7,20.5,0.0,No,4.4,9.9,W,41,W,WNW,22,7,58,36,1015.7,1013.3,1,0,108
20-05-13,13.0,21.3,10.3,21.7,0.0,No,3.0,10.0,W,41,W,W,24,7,64,38,1020.1,1017.5,1,1,109
21-05-13,13.5,17.3,11.1,18.9,0.0,No,2.4,6.1,W,41,WNW,S,19,22,74,64,1022.4,1022.8,4,7,110
22-05-13,15.1,17.4,11.9,18.7,0.0,No,4.0,7.5,W,41,SSW,SSE,20,19,63,52,1028.2,1026.2,1,2,111
23-05-13,12.7,17.1,11.0,18.4,0.0,No,3.4,5.4,W,41,WNW,SSE,17,13,76,53,1026.9,1024.6,1,5,112
24-05-13,13.3,19.3,11.4,20.1,0.0,No,2.4,9.1,W,41,W,NW,13,2,71,39,1025.4,1022.7,1,1,113
25-05-13,11.1,16.9,8.8,18.3,0.0,No,3.6,6.5,W,41,W,ENE,17,11,78,58,1025.1,1022.2,4,3,114
26-05-13,12.9,19.5,10.9,21.1,0.4,No,0.4,9.1,W,41,W,ENE,20,13,81,58,1025.9,1022.6,6,2,115
27-05-13,13.6,19.1,11.5,22.4,0.0,No,3.2,8.7,W,41,W,E,15,13,82,71,1024.6,1021.8,3,1,116
28-05-13,12.8,18.6,11.0,19.2,0.0,No,1.6,3.9,W,41,W,NE,26,2,80,74,1025.6,1023.9,3,6,117
29-05-13,12.7,17.6,11.0,18.6,1.0,No,1.0,4.6,W,41,W,S,19,4,86,76,1030.2,1029.1,3,2,118
30-05-13,12.7,19.6,10.9,21.0,0.2,No,1.4,5.6,W,41,W,E,19,7,87,58,1032.0,1028.7,1,2,119
31-05-13,11.7,19.4,10.8,20.1,0.0,No,1.0,9.4,W,41,WNW,SSE,17,17,90,61,1028.6,1026.66,1,1,120
01-06-13,14.3,18.7,11.6,20.5,0.2,Yes,2.2,0.3,W,41,W,SE,19,17,91,74,1029.3,1027.0,7,7,121
02-06-13,15.3,17.1,14.3,17.6,22.0,Yes,1.8,0.1,W,41,W,W,9,7,97,90,1027.3,1024.8,8,7,122
03-06-13,15.6,16.7,15.2,19.1,4.0,Yes,0.4,0.0,W,41,W,E,17,22,98,90,1026.4,1024.1,8,8,123
04-06-13,17.5,17.2,15.5,18.3,9.2,Yes,2.4,0.0,W,41,SE,ESE,19,26,87,88,1023.1,1020.5,8,8,124
05-06-13,16.0,16.6,15.2,16.9,46.4,Yes,2.4,0.0,W,41,SSW,S,24,24,82,84,1020.1,1018.6,7,8,125
06-06-13,15.1,16.6,14.7,17.4,12.4,No,0.4,1.8,W,41,WSW,SSW,15,24,81,70,1021.2,1020.3,7,6,126
07-06-13,13.3,17.9,11.7,18.2,0.0,Yes,2.2,8.8,W,41,W,S,19,24,76,49,1025.0,1025.7,1,1,127
08-06-13,14.1,17.2,12.7,17.7,6.0,Yes,1.4,0.5,W,41,WNW,ESE,17,17,97,71,1032.1,1029.8,8,7,128
09-06-13,13.9,16.2,13.0,16.9,3.6,Yes,1.2,1.2,W,41,W,ESE,13,2,96,89,1030.9,1028.0,7,8,129
10-06-13,13.2,19.1,12.4,19.9,1.6,No,1.6,3.9,W,41,W,N,13,9,98,68,1027.5,1023.9,7,1,130
11-06-13,17.3,19.6,13.2,19.9,0.0,Yes,1.8,0.0,W,41,NNW,N,6,4,74,70,1022.9,1020.6,7,8,131
12-06-13,14.1,20.1,13.7,22.1,5.4,No,1.8,6.9,W,41,W,ENE,11,7,97,64,1022.4,1018.1,8,1,132
13-06-13,16.6,16.7,14.0,18.8,0.0,No,3.4,8.6,W,41,NW,WSW,20,26,67,42,1012.2,1011.5,1,2,133
14-06-13,11.2,14.1,9.6,14.6,0.0,No,3.8,3.4,W,41,W,SW,30,24,49,52,1022.0,1022.5,5,7,134
15-06-13,13.7,14.5,10.6,15.3,0.0,Yes,2.8,0.1,W,41,SSW,SSW,24,26,75,87,1024.4,1022.8,7,8,135
16-06-13,15.0,15.8,13.3,16.8,7.2,Yes,5.0,2.4,W,41,SSW,SSW,19,20,86,83,1024.2,1023.0,6,7,136
17-06-13,14.2,17.3,13.1,17.5,3.4,No,0.8,1.3,W,41,W,SSW,11,13,88,73,1026.7,1024.8,7,7,137
18-06-13,14.8,19.2,13.6,19.4,0.0,No,1.6,4.1,W,41,W,NE,13,2,90,69,1025.5,1022.1,7,8,138
19-06-13,13.9,18.6,12.8,20.3,0.0,Yes,2.0,5.0,W,41,WNW,ESE,13,13,91,69,1020.3,1017.4,6,7,139
20-06-13,14.3,17.2,13.8,17.9,3.6,Yes,0.6,0.6,W,41,W,W,19,19,81,60,1018.3,1016.2,7,7,140
21-06-13,13.2,18.0,11.6,18.5,2.2,No,1.8,9.4,W,41,W,WSW,15,17,66,40,1020.7,1018.9,1,1,141
22-06-13,11.4,16.3,9.7,17.3,0.0,No,3.4,9.3,W,41,W,SSW,22,22,61,54,1023.2,1024.0,1,3,142
23-06-13,9.9,17.0,8.2,17.1,0.0,No,3.4,7.0,W,41,WNW,WSW,13,13,74,43,1023.7,1020.4,1,7,143
24-06-13,10.7,18.8,9.2,19.2,0.0,No,1.8,9.2,W,41,W,WNW,19,9,72,45,1027.0,1023.1,1,1,144
25-06-13,11.8,19.4,9.9,19.6,0.0,No,2.8,9.8,W,41,W,WNW,17,6,69,43,1024.6,1020.6,1,0,145
26-06-13,14.6,19.3,10.2,20.2,0.0,No,3.2,9.7,W,41,WNW,W,28,28,47,38,1017.0,1016.8,0,1,146
27-06-13,10.8,18.9,9.5,19.4,0.0,No,4.4,9.3,W,41,W,WSW,24,15,57,32,1025.9,1023.6,0,0,147
28-06-13,10.1,18.1,7.9,18.7,0.0,No,3.0,8.8,W,41,W,SSE,20,9,68,43,1027.6,1024.7,1,1,148
29-06-13,9.2,20.8,7.9,21.0,0.0,No,0.8,9.8,W,41,WNW,NNW,13,6,84,42,1024.1,1018.8,2,1,149
30-06-13,13.8,21.6,9.2,22.1,0.0,No,3.2,9.8,W,41,NNW,NW,19,28,47,35,1017.1,1010.3,1,1,150
01-07-13,13.1,19.2,10.3,19.6,0.2,No,3.8,9.5,W,41,W,W,0,41,45,34,1011.0,1008.5,0,1,151
02-07-13,14.6,18.8,10.8,19.2,0.0,No,4.0,9.7,W,41,WNW,W,26,31,55,35,1012.5,1011.2,1,1,152
03-07-13,10.7,17.4,9.2,17.9,0.0,Yes,3.2,9.6,W,41,W,WNW,17,7,63,42,1022.7,1020.8,1,1,153
04-07-13,9.1,12.9,8.2,15.0,1.2,Yes,2.4,0.4,W,41,W,S,20,9,84,88,1029.0,1028.2,7,7,154
05-07-13,11.3,16.8,9.1,17.4,14.2,No,1.6,2.5,W,41,WNW,NE,11,15,78,48,1031.9,1028.9,6,6,155
06-07-13,9.8,17.7,8.3,18.4,0.0,No,2.2,7.8,W,41,W,SSE,15,4,84,59,1029.2,1025.7,1,3,156
07-07-13,11.3,19.3,9.7,19.8,0.0,No,2.2,4.3,W,41,W,N,9,11,87,55,1024.4,1019.7,7,5,157
08-07-13,12.1,16.4,10.5,17.2,0.2,No,1.6,5.5,W,41,W,SE,11,7,80,49,1020.9,1017.4,1,4,158
09-07-13,9.6,13.2,6.9,13.3,0.0,Yes,2.8,4.6,W,41,W,WSW,15,20,57,43,1018.0,1015.7,2,7,159
10-07-13,10.2,15.8,7.2,15.8,1.8,No,2.4,4.9,W,41,WNW,NW,11,26,58,38,1014.6,1010.0,7,3,160
11-07-13,11.3,16.1,10.0,16.5,0.0,No,4.8,9.8,W,41,W,WSW,24,20,46,27,1016.5,1017.0,1,1,161
12-07-13,7.8,15.0,5.7,15.9,0.0,No,3.4,8.3,W,41,W,NE,17,13,67,45,1027.5,1023.5,4,7,162
13-07-13,11.5,17.1,7.8,17.3,0.0,No,2.6,0.0,W,41,W,N,4,17,67,58,1024.2,1021.2,8,8,163
14-07-13,12.0,22.9,10.1,23.1,0.0,No,1.8,6.1,W,41,W,E,0,7,80,54,1021.5,1017.3,7,1,164
15-07-13,11.1,17.4,9.7,19.8,0.0,No,1.8,9.7,W,41,W,ESE,20,11,81,70,1020.8,1018.4,1,1,165
16-07-13,10.8,17.4,8.9,18.0,0.0,No,2.0,9.6,W,41,WNW,SSE,13,11,81,50,1022.2,1019.1,1,1,166
17-07-13,10.1,17.3,8.2,18.5,0.0,No,1.4,9.0,W,41,W,N,15,17,84,38,1019.2,1013.3,4,5,167
18-07-13,10.1,17.9,8.2,18.7,0.0,No,4.0,8.7,W,41,W,W,13,39,73,21,1010.1,1007.3,1,1,168
19-07-13,10.9,18.2,8.1,18.2,0.0,No,3.4,9.5,W,41,W,W,4,6,53,32,1016.2,1014.1,1,2,169
20-07-13,14.6,16.8,10.8,17.6,0.0,Yes,3.2,0.0,W,41,N,NE,6,4,41,55,1015.4,1008.6,8,8,170
21-07-13,13.1,16.7,10.4,17.5,2.8,No,1.6,9.7,W,41,NW,W,26,31,56,31,1006.2,1008.1,1,1,171
22-07-13,8.8,13.9,7.2,15.1,0.0,No,3.8,10.0,W,41,W,SSW,19,22,52,31,1024.8,1025.2,0,1,172
23-07-13,7.0,14.1,5.5,14.7,0.0,Yes,4.0,4.0,W,41,W,SSW,22,19,67,61,1031.5,1029.6,6,6,173
24-07-13,10.9,14.7,6.9,15.9,7.0,Yes,0.2,1.7,W,41,W,ESE,19,22,95,70,1029.3,1025.4,8,7,174
25-07-13,10.5,12.6,9.8,12.7,8.8,Yes,2.4,0.1,W,41,WSW,S,15,17,93,81,1022.6,1020.1,8,7,175
26-07-13,8.4,15.5,6.2,17.0,16.2,No,1.4,8.6,W,41,W,SSE,24,13,79,47,1018.3,1014.3,1,5,176
27-07-13,9.1,16.4,6.3,17.6,0.0,Yes,2.0,7.6,W,41,W,ESE,11,6,71,41,1013.1,1008.6,2,7,177
28-07-13,8.4,10.2,7.0,13.6,3.8,Yes,3.0,3.6,W,41,W,SW,20,31,79,79,1011.3,1011.3,6,8,178
29-07-13,9.1,13.5,8.0,15.0,33.2,No,1.4,6.9,W,41,W,SSW,22,20,86,59,1017.2,1015.1,6,6,179
30-07-13,9.4,16.2,6.0,17.0,0.2,No,2.6,9.7,W,41,W,ESE,19,11,65,43,1016.7,1013.7,2,1,180
31-07-13,7.9,18.5,6.0,20.3,0.0,No,3.4,10.2,W,41,W,E,19,11,71,42,1016.6,1011.6,1,2,181
01-08-13,17.2,16.8,7.9,20.8,0.0,No,4.6,1.8,W,41,WNW,WNW,17,26,40,46,1004.8,1003.3,6,7,182
02-08-13,11.9,16.6,9.7,16.8,0.0,No,4.6,10.1,W,41,W,W,28,24,48,32,1013.2,1013.3,1,1,183
03-08-13,11.6,18.7,9.4,18.8,0.0,No,3.6,10.0,W,41,W,W,20,7,52,34,1020.4,1017.7,0,1,184
04-08-13,10.6,15.0,8.1,17.2,0.0,No,3.0,5.9,W,41,W,E,13,13,62,45,1020.4,1017.1,6,6,185
05-08-13,9.2,16.3,6.6,16.3,0.0,No,3.4,8.5,W,41,W,SSE,22,13,67,52,1019.1,1016.1,1,5,186
06-08-13,9.5,14.3,8.8,15.5,0.0,No,3.4,3.4,W,41,W,SSW,15,13,89,70,1014.9,1015.6,7,7,187
07-08-13,10.9,11.4,8.3,16.5,0.8,Yes,0.4,6.0,W,41,W,NW,20,19,74,75,1017.9,1014.6,1,7,188
08-08-13,11.7,18.4,8.2,18.6,4.6,No,1.4,5.7,W,41,W,SW,17,19,58,38,1016.4,1016.9,7,5,189
09-08-13,9.9,16.4,6.9,17.3,0.0,No,4.0,9.6,W,41,W,WNW,19,15,56,37,1021.9,1018.1,1,4,190
10-08-13,10.5,13.5,6.7,15.6,0.0,No,3.0,5.9,W,41,NW,WNW,19,24,62,38,1016.2,1011.8,2,2,191
11-08-13,9.4,15.4,7.0,15.9,0.4,No,3.6,10.7,W,41,W,W,33,20,46,35,1016.0,1015.4,1,4,192
12-08-13,10.7,15.8,6.8,16.3,0.0,No,3.0,10.0,W,41,W,W,19,30,50,28,1021.7,1018.8,1,1,193
13-08-13,12.2,16.0,8.4,17.4,0.0,No,4.0,10.5,W,41,WSW,ESE,22,15,49,34,1023.0,1021.9,1,2,194
